 "Evaluation and Usability of Programming Languages and Tools, PLATEAU'10"  $ "[No author name available]"  $ reviewer4 $ (2,)

 "ExPort: Detecting and visualizing API usages in large source code repositories"  $ "Moritz E., Linares-Vasquez M., Poshyvanyk D., Grechanik M., McMillan C., Gethers M."  $ reviewer1 $ (1,)
 "ExPort: Detecting and visualizing API usages in large source code repositories"  $ "Moritz E., Linares-Vasquez M., Poshyvanyk D., Grechanik M., McMillan C., Gethers M."  $ reviewer3 $ ()

 "ExaShark: A scalable hybrid array kit for exascale simulation"  $ "Chakroun I., Vander Aa T., De Fraine B., Haber T., Wuyts R., Demeuter W."  $ reviewer1 $ (1,)
 "ExaShark: A scalable hybrid array kit for exascale simulation"  $ "Chakroun I., Vander Aa T., De Fraine B., Haber T., Wuyts R., Demeuter W."  $ reviewer3 $ (4,)

 "ExoData: A Python package to handle large exoplanet catalogue data"  $ "Varley R."  $ reviewer1 $ (1,)
 "ExoData: A Python package to handle large exoplanet catalogue data"  $ "Varley R."  $ reviewer4 $ (0,)

 "Explaining answers from the semantic web: The inference web approach"  $ "McGuinness D.L., Da Silva P.P."  $ reviewer1 $ (1,)
 "Explaining answers from the semantic web: The inference web approach"  $ "McGuinness D.L., Da Silva P.P."  $ reviewer3 $ (0,)

 "Extended authorization mechanism in OSGi"  $ "Kim I., Lee D., Lee J., Rim K."  $ reviewer2 $ (1,)
 "Extended authorization mechanism in OSGi"  $ "Kim I., Lee D., Lee J., Rim K."  $ reviewer4 $ (0,)

 "Frameworks for multi-core architectures: A comprehensive evaluation using 2D/3D image registration"  $ "Membarth R., Hannig F., Teich J., Körner M., Eckert W."  $ reviewer2 $ (0,)
